"Line","BoardingTime","PassengerCount"
"MF40","2019-12-18T10:30",225
"ML22","2019-12-18T10:30",66
"MZ78","2019-12-18T10:30",104
"TB72","2019-12-18T10:30",123
"TC16","2019-12-18T10:30",86
"TC16A","2019-12-18T10:30",96
"TC93","2019-12-18T10:30",112
"TCD49","2019-12-18T10:30",67
"TCD49A","2019-12-18T10:30",82
"TCP45","2019-12-18T10:30",129
"TK36","2019-12-18T10:30",84
"TL94","2019-12-18T10:30",95
"UC11","2019-12-18T10:30",213
"UC32","2019-12-18T10:30",111
"VC53","2019-12-18T10:30",118
"VC57","2019-12-18T10:30",143
"VC59","2019-12-18T10:30",87
"VF01","2019-12-18T10:30",449
"VF02","2019-12-18T10:30",229
"VF63","2019-12-18T10:30",119
"VF66","2019-12-18T10:30",215
"VL13","2019-12-18T10:30",123
"VL13A","2019-12-18T10:30",139
"VML54","2019-12-18T10:30",100
"VML55A","2019-12-18T10:30",69
"VS18","2019-12-18T10:30",176
"511","2019-12-18T11:00",116
"AC03","2019-12-18T11:00",131
"AF04","2019-12-18T11:00",81
"AF04A","2019-12-18T11:00",64
"CV14","2019-12-18T11:00",162
"CV47","2019-12-18T11:00",155
"CV48","2019-12-18T11:00",82
"CV67","2019-12-18T11:00",110
"DC15","2019-12-18T11:00",235
"DC15A","2019-12-18T11:00",245
"FL82","2019-12-18T11:00",118
"GM24","2019-12-18T11:00",85
"KC06","2019-12-18T11:00",491
"KC33","2019-12-18T11:00",120
"KC35","2019-12-18T11:00",69
"KC35A","2019-12-18T11:00",87
"KF52","2019-12-18T11:00",66
"KL08","2019-12-18T11:00",488
"KM61","2019-12-18T11:00",134
"KPZ83","2019-12-18T11:00",127
"LC07","2019-12-18T11:00",288
"LC07A","2019-12-18T11:00",185
"LF09","2019-12-18T11:00",391
"LF10","2019-12-18T11:00",445
"MC12","2019-12-18T11:00",210
"MF40","2019-12-18T11:00",206
"ML22","2019-12-18T11:00",63
"MZ78","2019-12-18T11:00",117
"TB72","2019-12-18T11:00",163
"TC16","2019-12-18T11:00",134
"TC16A","2019-12-18T11:00",106
"TC93","2019-12-18T11:00",108
"TCD49","2019-12-18T11:00",64
"TCD49A","2019-12-18T11:00",84
"TCP45","2019-12-18T11:00",108
"TK36","2019-12-18T11:00",106
"TL94","2019-12-18T11:00",104
"UC11","2019-12-18T11:00",284
"UC32","2019-12-18T11:00",87
"VC53","2019-12-18T11:00",80
"VC57","2019-12-18T11:00",135
"VC59","2019-12-18T11:00",108
"VF01","2019-12-18T11:00",388
"VF02","2019-12-18T11:00",228
"VF63","2019-12-18T11:00",93
"VF66","2019-12-18T11:00",211
"VL13","2019-12-18T11:00",94
"VL13A","2019-12-18T11:00",148
"VML54","2019-12-18T11:00",64
"VML55A","2019-12-18T11:00",64
"VS18","2019-12-18T11:00",171
"511","2019-12-18T11:30",92
"AC03","2019-12-18T11:30",155
"AF04","2019-12-18T11:30",92
"AF04A","2019-12-18T11:30",83
"CV14","2019-12-18T11:30",211
"CV47","2019-12-18T11:30",180
"CV48","2019-12-18T11:30",66
"CV67","2019-12-18T11:30",106
"DC15","2019-12-18T11:30",196
"DC15A","2019-12-18T11:30",289
"FL82","2019-12-18T11:30",151
"GM24","2019-12-18T11:30",71
"KC06","2019-12-18T11:30",472
"KC33","2019-12-18T11:30",108
"KC35","2019-12-18T11:30",87
"KC35A","2019-12-18T11:30",92
"KF52","2019-12-18T11:30",66
"KL08","2019-12-18T11:30",591
"KM61","2019-12-18T11:30",141
"KPZ83","2019-12-18T11:30",86
"LC07","2019-12-18T11:30",248
"LC07A","2019-12-18T11:30",139
"LF09","2019-12-18T11:30",347
"LF10","2019-12-18T11:30",494
"MC12","2019-12-18T11:30",171
"MF40","2019-12-18T11:30",197
"ML22","2019-12-18T11:30",69
"MZ78","2019-12-18T11:30",155
"TB72","2019-12-18T11:30",201
"TC16","2019-12-18T11:30",149
"TC16A","2019-12-18T11:30",105
"TC93","2019-12-18T11:30",154
"TCD49","2019-12-18T11:30",65
"TCD49A","2019-12-18T11:30",94
"TCP45","2019-12-18T11:30",146
"TK36","2019-12-18T11:30",109
"TL94","2019-12-18T11:30",107
"UC11","2019-12-18T11:30",258
"UC32","2019-12-18T11:30",93
"VC53","2019-12-18T11:30",108
"VC57","2019-12-18T11:30",152
"VC59","2019-12-18T11:30",104
"VF01","2019-12-18T11:30",447
"VF02","2019-12-18T11:30",254
"VF63","2019-12-18T11:30",118
"VF66","2019-12-18T11:30",232
